ID,id,ISSUE_DT,MATURITY,COUPON,ID_ISIN,CALLABLE,SERIES,INFLATION_LINKED_INDICATOR,CURRENCY
GG717462 Corp,GG717462 Corp,10/11/1985,9/15/1995,14,ZAG000010414,N,131,N,ZAR
GG718052 Corp,GG718052 Corp,4/1/1993,12/15/1998,10.75,ZAG000010554,N,160,N,ZAR
GG719113 Corp,GG719113 Corp,7/15/1994,7/15/2008,9.75,ZAG000010679,N,178,N,ZAR
EJ235944 Corp,EJ235944 Corp,6/22/2012,2/28/2023,7.75,ZAG000096165,N,2023,N,ZAR
GG726769 Corp,GG726769 Corp,4/4/1996,12/21/2006,12.5,ZAG000016114,N,R184,N,ZAR
GG730660 Corp,GG730660 Corp,3/31/1994,9/30/2007,13.45,ZAG000010695,N,R180,N,ZAR
GG730664 Corp,GG730664 Corp,2/28/1994,8/1/2013,12.9,ZAG000010612,N,167,N,ZAR
GG730665 Corp,GG730665 Corp,3/31/1994,9/30/2012,13.55,ZAG000010711,N,182,N,ZAR
GG730434 Corp,GG730434 Corp,9/15/1996,5/30/2000,11.5,ZAG000016197,N,148,N,ZAR
GG730437 Corp,GG730437 Corp,7/15/1974,11/15/1999,9.25,ZAG000010174,N,050,N,ZAR
GG730659 Corp,GG730659 Corp,2/18/1986,9/15/2007,15,ZAG000010422,N,R133,N,ZAR
GG730661 Corp,GG730661 Corp,3/31/1994,9/30/2008,13.45,ZAG000010703,N,181,N,ZAR
GG730667 Corp,GG730667 Corp,3/31/1994,9/30/2013,13.55,ZAG000010729,N,183,N,ZAR
GG730433 Corp,GG730433 Corp,9/15/1996,11/30/1999,11.5,ZAG000016213,N,005,N,ZAR
GG730438 Corp,GG730438 Corp,1/11/1994,12/15/1999,10.5,ZAG000010562,N,161,N,ZAR
GG730447 Corp,GG730447 Corp,6/29/1978,4/15/2000,10.5,ZAG000010257,N,085,N,ZAR
GG730543 Corp,GG730543 Corp,10/1/1980,10/1/2001,10.35,ZAG000010331,N,103,N,ZAR
GG730545 Corp,GG730545 Corp,4/15/1980,4/15/2002,9.25,ZAG000010315,N,100,N,ZAR
GG730547 Corp,GG730547 Corp,10/1/1981,9/15/2002,13,ZAG000010364,N,111,N,ZAR
GG730666 Corp,GG730666 Corp,4/21/1994,8/1/2013,10,ZAG000010687,N,R179,N,ZAR
EK773306 Corp,EK773306 Corp,9/11/2015,1/31/2040,9,ZAG000125980,N,2040,N,ZAR
EK773288 Corp,EK773288 Corp,7/17/2015,2/28/2035,8.875,ZAG000125972,N,2035,N,ZAR
ZL925564 Corp,ZL925564 Corp,4/11/2023,3/31/2053,11.625,ZAG000195280,N,2053,N,ZAR
EJ235914 Corp,EJ235914 Corp,6/29/2012,2/28/2048,8.75,ZAG000096173,N,2048,N,ZAR
EJ750009 Corp,EJ750009 Corp,6/13/2014,3/31/2032,8.25,ZAG000107004,N,2032,N,ZAR
EJ749864 Corp,EJ749864 Corp,7/18/2014,1/31/2044,8.75,ZAG000106972,N,2044,N,ZAR
EJ750004 Corp,EJ750004 Corp,10/4/2013,1/31/2030,8,ZAG000106998,N,2030,N,ZAR
EJ750019 Corp,EJ750019 Corp,7/19/2013,1/31/2037,8.5,ZAG000107012,N,2037,N,ZAR
CP507394 Corp,CP507394 Corp,5/21/1998,12/21/2026,10.5,ZAG000016320,N,R186,N,ZAR
EF556585 Corp,EF556585 Corp,7/21/2006,3/31/2036,6.25,ZAG000030404,N,R209,N,ZAR
EI258592 Corp,EI258592 Corp,6/4/2010,2/28/2041,6.5,ZAG000077488,N,R214,N,ZAR
EI258596 Corp,EI258596 Corp,5/28/2010,2/28/2031,7,ZAG000077470,N,R213,N,ZAR
